,movie name,Ratings,Genre,Synopsis,Rating
0,The Lion King,"<span class=""ipl-rating-star__rating"">8.5</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.</p>",
1,Aladdin,"<span class=""ipl-rating-star__rating"">8</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.</p>",
2,Beauty and the Beast,"<span class=""ipl-rating-star__rating"">8</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.</p>",
3,The Little Mermaid,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.</p>",
4,Finding Nemo,"<span class=""ipl-rating-star__rating"">8.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.</p>",
5,Toy Story,"<span class=""ipl-rating-star__rating"">8.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.</p>",
6,Tangled,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.</p>",
7,Sen to Chihiro no kamikakushi,"<span class=""ipl-rating-star__rating"">8.6</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.</p>",
8,"Monsters, Inc.","<span class=""ipl-rating-star__rating"">8.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.</p>",
9,Big Hero 6,"<span class=""ipl-rating-star__rating"">7.8</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<p class="""">
A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.</p>",
10,Inside Out,"<span class=""ipl-rating-star__rating"">8.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.</p>",
11,Mary Poppins,"<span class=""ipl-rating-star__rating"">7.8</span>","<span class=""genre"">
Comedy, Family, Fantasy            </span>","<p class="""">
In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.</p>",
12,Lady and the Tramp,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The romantic tale of a sheltered uptown Cocker Spaniel dog and a streetwise downtown Mutt.</p>",
13,Up,"<span class=""ipl-rating-star__rating"">8.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.</p>",
14,Song of the South,"<span class=""ipl-rating-star__rating"">7</span>","<span class=""genre"">
Animation, Comedy, Family            </span>","<p class="""">
The kindly story-teller Uncle Remus tells a young boy stories about trickster Br'er Rabbit, who outwits Br'er Fox and slow-witted Br'er Bear.</p>",
15,"McFarland, USA","<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Biography, Drama, Sport            </span>","<p class="""">
Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.</p>",
16,Mulan,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.</p>",
17,Sleeping Beauty,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
After being snubbed by the royal family, a malevolent fairy places a curse on a princess which only a prince can break, along with the help of three good fairies.</p>",
18,Peter Pan,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.</p>",
19,Robin Hood,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The story of the legendary British outlaw is portrayed with the characters as humanoid animals.</p>",
20,Frozen,"<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.</p>",
21,Toy Story 3,"<span class=""ipl-rating-star__rating"">8.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.</p>",
22,Cinderella,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.</p>",
23,Pirates of the Caribbean: The Curse of the Black Pearl,"<span class=""ipl-rating-star__rating"">8.1</span>","<span class=""genre"">
Action, Adventure, Fantasy            </span>","<p class="""">
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.</p>",
24,WALL·E,"<span class=""ipl-rating-star__rating"">8.4</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.</p>",
25,The Fox and the Hound,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
A little fox named Tod, and Copper, a hound puppy, vow to be best buddies forever. But as Copper grows into a hunting dog, their unlikely friendship faces the ultimate test.</p>",
26,Bambi,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
The story of a young deer growing up in the forest.</p>",
27,Snow White and the Seven Dwarfs,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.</p>",
28,The Jungle Book,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.</p>",
29,One Hundred and One Dalmatians,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When a litter of Dalmatian puppies are abducted by the minions of Cruella De Vil, the owners must find them before she uses them for a diabolical fashion statement.</p>",
30,The Many Adventures of Winnie the Pooh,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
In this collection of animated shorts based on the stories and characters by A.A. Milne, Winnie the Pooh, a honey-loving teddy bear, embarks on some eccentric adventures.</p>",
31,Wreck-It Ralph,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.</p>",
32,The Incredibles,"<span class=""ipl-rating-star__rating"">8</span>","<span class=""genre"">
Animation, Action, Adventure            </span>","<p class="""">
While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.</p>",
33,Tarzan,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A man raised by gorillas must decide where he really belongs when he discovers he is a human.</p>",
34,The Great Mouse Detective,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy maker and uncovers its link to his archenemy, Professor Ratigan.</p>",
35,Ratatouille,"<span class=""ipl-rating-star__rating"">8.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.</p>",
36,The Sign of Zorro,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
Don Diego returns from Spain to challenge the cruel tyranny of Monastario.</p>",
37,Brink!,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Drama, Family, Sport            </span>","<p class="""">
Andy ""Brink"" Brinker and his in-line skating crew--Peter, Jordy, and Gabriella--who call themselves ""Soul-Skaters"" (which means they skate for the fun of it, and not for the money), clash ...                <a href=""/title/tt0162212/plotsummary"">See full summary</a> »
</p>",
38,Cinderella,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.</p>",
39,Hercules,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.</p>",
40,Swiss Family Robinson,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Adventure, Family            </span>","<p class="""">
A Swiss family must survive being shipwrecked on a deserted island.</p>",
41,Pinocchio,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.</p>",
42,The AristoCats,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
With the help of a smooth talking tomcat, a family of Parisian felines set to inherit a fortune from their owner try to make it back home after a jealous butler kidnaps them and leaves them in the country.</p>",
43,Alice in Wonderland,"<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Alice stumbles into the world of Wonderland. Will she get home? Not if the Queen of Hearts has her way.</p>",
44,Tru Confessions,"<span class=""ipl-rating-star__rating"">7.5</span>","<span class=""genre"">
Comedy, Drama, Family            </span>","<p class="""">
Trudy Walker hated her life. She thought it was totally messed up until she found out about a contest that could change everything..</p>",
45,Fantasia,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
A collection of animated interpretations of great works of Western classical music, ranging from the abstract to depictions of mythology and fantasy, and settings including the prehistoric, supernatural and sacred.</p>",
46,Remember the Titans,"<span class=""ipl-rating-star__rating"">7.8</span>","<span class=""genre"">
Biography, Drama, Sport            </span>","<p class="""">
The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.</p>",
47,Dumbo,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.</p>",
48,Homeward Bound: The Incredible Journey,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Comedy, Drama            </span>","<p class="""">
A fun-loving American bulldog pup, a hilarious Himalayan cat, and a wise old golden retriever embark on a long trek through the rugged wilderness of the Sierra Nevada mountains in a quest to reach home and their beloved owners.</p>",
49,Toy Story 2,"<span class=""ipl-rating-star__rating"">7.9</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.</p>",
50,Lilo & Stitch,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.</p>",
51,The Sword in the Stone,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A poor boy named Arthur learns the power of love, kindness, knowledge and bravery with the help of a wizard called Merlin in the path to become one of the most beloved kings in English history.</p>",
52,The Muppet Movie,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Adventure, Comedy, Family            </span>","<p class="""">
Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.</p>",
53,The Hunchback of Notre Dame,"<span class=""ipl-rating-star__rating"">7</span>","<span class=""genre"">
Animation, Drama, Family            </span>","<p class="""">
A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer.</p>",
54,Toby Tyler or Ten Weeks with a Circus,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Drama, Family            </span>","<p class="""">
Taken in by distant members of his family after being orphaned, Toby Tyler runs away to join the circus.</p>",
55,Old Yeller,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
A teenage boy grows to love a stray yellow dog while helping his mother and younger brother run their Texas homestead while their father is away on a cattle drive. First thought to be good-for-nothing mutt, Old Yeller is soon beloved by all.</p>",
56,The Nightmare Before Christmas,"<span class=""ipl-rating-star__rating"">7.9</span>","<span class=""genre"">
Animation, Family, Fantasy            </span>","<p class="""">
Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.</p>",
57,The Muppet Christmas Carol,"<span class=""ipl-rating-star__rating"">7.7</span>","<span class=""genre"">
Comedy, Drama, Family            </span>","<p class="""">
The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.</p>",
58,Hauru no ugoku shiro,"<span class=""ipl-rating-star__rating"">8.2</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.</p>",
59,Cars,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town, and learns that winning isn't everything in life.</p>",
60,Halloweentown,"<span class=""ipl-rating-star__rating"">6.6</span>","<span class=""genre"">
Adventure, Comedy, Family            </span>","<p class="""">
When a young girl living with her secret witch mother learns she too is a witch, she must help her witch grandmother save Halloweentown from evil forces.</p>",
61,Oliver & Company,"<span class=""ipl-rating-star__rating"">6.6</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A lost and alone kitten joins a gang of dogs engaged in petty larceny in New York City.</p>",
62,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Family, Fantasy            </span>","<p class="""">
Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.</p>",
63,Love Leads the Way: A True Story,"<span class=""ipl-rating-star__rating"">7.6</span>","<span class=""genre"">
Drama, Family, History            </span>","<p class="""">
A recently blinded man becomes one of the first American users of a seeing eye dog and must fight to remove the legal barriers impeding its use.</p>",
64,The Journey of Natty Gann,"<span class=""ipl-rating-star__rating"">7</span>","<span class=""genre"">
Adventure, Family            </span>","<p class="""">
In the 1930s, a tomboy runs away from her guardian to join her single father who is 2,000 miles away, where he has found work.</p>",
65,Enchanted,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.</p>",
66,Almost Angels,"<span class=""ipl-rating-star__rating"">6.5</span>","<span class=""genre"">
Comedy, Family, Music            </span>","<p class="""">
Supported avidly by his mother and more reluctantly at first by his father, a working-class Austrian boy joins the Vienna Choirboys, where he proves to be unusually talented. The standard ...                <a href=""/title/tt0055740/plotsummary"">See full summary</a> »
</p>",
67,The Rescuers,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Two mice of the Rescue Aid Society search for a little girl kidnapped by unscrupulous treasure hunters.</p>",
68,Brave,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.</p>",
69,The Color of Friendship,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Biography, Drama, Family            </span>","<p class="""">
A white South African girl finds herself in a difficult situation when she is sent to spend a term with a black family in America.</p>",
70,Miracle,"<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Biography, Drama, History            </span>","<p class="""">
The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.</p>",
71,Pocahontas,"<span class=""ipl-rating-star__rating"">6.7</span>","<span class=""genre"">
Animation, Adventure, Drama            </span>","<p class="""">
An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.</p>",
72,A Bug's Life,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.</p>",
73,Cool Runnings,"<span class=""ipl-rating-star__rating"">7</span>","<span class=""genre"">
Adventure, Comedy, Family            </span>","<p class="""">
When a Jamaican sprinter is disqualified from the Olympic Games, he enlists the help of a dishonored coach to start the first Jamaican Bobsled Team.</p>",
74,Newsies,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Drama, Family, History            </span>","<p class="""">
A musical based on the New York City newsboy strike of 1899. When young newspaper sellers are exploited beyond reason by their bosses they set out to enact change and are met by the ruthlessness of big business.</p>",
75,Maleficent,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Family, Fantasy            </span>","<p class="""">
A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.</p>",
76,Pollyanna,"<span class=""ipl-rating-star__rating"">7.4</span>","<span class=""genre"">
Comedy, Drama, Family            </span>","<p class="""">
A young girl comes to an embittered town and confronts its attitude with her determination to see the best in life.</p>",
77,The Happiest Millionaire,"<span class=""ipl-rating-star__rating"">6.6</span>","<span class=""genre"">
Comedy, Family, Musical            </span>","<p class="""">
Clever yet hapless new butler John Lawless manages a Philadelphia household for quirky and joyful millionaire Anthony Drexel Biddle, his unflappable wife, Cordelia, and their spitfire daughter, Cordy.</p>",
78,National Treasure,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Action, Adventure, Mystery            </span>","<p class="""">
A historian races to find the legendary Templar Treasure before a team of mercenaries.</p>",
79,The Light in the Forest,"<span class=""ipl-rating-star__rating"">6.5</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
A young white man who spent his whole life raised by Native Americans is sent to live with his birth family and must learn to fit in with people he was taught to hate.</p>",
80,Hocus Pocus,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Comedy, Family, Fantasy            </span>","<p class="""">
A teenage boy named Max and his little sister move to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.</p>",
81,Winnie the Pooh,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
While searching for honey, Pooh and his friends embark on an adventure to find Eeyore's missing tail and rescue Christopher Robin from an unknown monster called The Backson.</p>",
82,Eight Below,"<span class=""ipl-rating-star__rating"">7.3</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
Brutal cold forces two Antarctic explorers to leave their team of sled dogs behind as they fend for their survival.</p>",
83,Davy Crockett: King of the Wild Frontier,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Adventure, Drama, Family            </span>","<p class="""">
American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo.</p>",
84,Tinker Bell and the Legend of the NeverBeast,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
When the compassionate animal-fairy, Fawn, befriends the sleepy furry giant called the NeverBeast, persuading Queen Clarion and the vigilant Scout Fairies of its kindness is easier said than done. Is the peaceful Pixie Hollow in danger?</p>",
85,The Rescuers Down Under,"<span class=""ipl-rating-star__rating"">6.8</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
R.A.S. agents Miss Bianca and Bernard race to Australia to save a little boy and a rare golden eagle from a murderous poacher.</p>",
86,The Three Lives of Thomasina,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Drama, Family            </span>","<p class="""">
Thomasina the cat brings a family together, through her mysterious death and reappearance.</p>",
87,Johnny Tsunami,"<span class=""ipl-rating-star__rating"">6.2</span>","<span class=""genre"">
Drama, Family, Sport            </span>","<p class="""">
A Hawaiian teenage surfer shows off his skills when he takes to the snow slopes in Vermont.</p>",
88,Monsters University,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.</p>",
89,Pirates of the Caribbean: At World's End,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Action, Adventure, Fantasy            </span>","<p class="""">
Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.</p>",
90,The Parent Trap,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Comedy, Family, Romance            </span>","<p class="""">
Teenage twin sisters swap places and scheme to reunite their divorced parents.</p>",
91,Right on Track,"<span class=""ipl-rating-star__rating"">6.1</span>","<span class=""genre"">
Biography, Drama, Family            </span>","<p class="""">
Fact-based drama chronicling the story of two determined sisters who battled the prejudice of a male-dominated sport to become world-class drag racers.</p>",
92,Phantom of the Megaplex,"<span class=""ipl-rating-star__rating"">6.3</span>","<span class=""genre"">
Action, Comedy, Family            </span>","<p class="""">
A young man working at a cinema on a special premiere night, finds that the films being shown are full of strange and eerie occurrences.</p>",
93,Treasure Planet,"<span class=""ipl-rating-star__rating"">7.2</span>","<span class=""genre"">
Animation, Adventure, Family            </span>","<p class="""">
In this science fiction rendering of the classic novel ""Treasure Island"", Jim Hawkins (Joseph Gordon-Levitt) is a rebellious teen seen by the world as an aimless slacker. After he receives ...                <a href=""/title/tt0133240/plotsummary"">See full summary</a> »
</p>",
94,Motocrossed,"<span class=""ipl-rating-star__rating"">6.5</span>","<span class=""genre"">
Action, Adventure, Family            </span>","<p class="""">
A young girl secretly poses as her twin brother to win the big motocross race for him after he breaks his leg.</p>",
95,Bolt,"<span class=""ipl-rating-star__rating"">6.8</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
The canine star of a fictional sci-fi/action show that believes his powers are real embarks on a cross country trek to save his co-star from a threat he believes is just as real.</p>",
96,The Princess and the Frog,"<span class=""ipl-rating-star__rating"">7.1</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.</p>",
97,A Goofy Movie,"<span class=""ipl-rating-star__rating"">6.9</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
When Max makes a preposterous promise to a girl he has a crush on, his chances to fulfilling it seem hopeless when he is dragged onto a cross-country trip with his embarrassing father, Goofy.</p>",
98,The Lion King II: Simba's Pride,"<span class=""ipl-rating-star__rating"">6.4</span>","<span class=""genre"">
Animation, Adventure, Comedy            </span>","<p class="""">
Simba's daughter is the key to a resolution of a bitter feud between Simba's pride and the outcast pride led by the mate of Scar.</p>",
99,The Scream Team,"<span class=""ipl-rating-star__rating"">6.3</span>","<span class=""genre"">
Comedy, Family, Fantasy            </span>","<p class="""">
Eccentric Frank Carlyle owned a hardware store in small town Steeple Falls which takes pride in and profit from its Halloween traditions. Frank's widower son Richard begrudgingly returns ...                <a href=""/title/tt0313634/plotsummary"">See full summary</a> »
</p>",
